"","test.id","cuisine"
"1",18009,"southern_us"
"2",28583,"southern_us"
"3",41580,"italian"
"4",29752,"southern_us"
"5",35687,"italian"
"6",38527,"southern_us"
"7",19666,"southern_us"
"8",41217,"chinese"
"9",28753,"mexican"
"10",22659,"southern_us"
"11",21749,"italian"
"12",44967,"italian"
"13",42969,"mexican"
"14",44883,"italian"
"15",20827,"southern_us"
"16",23196,"southern_us"
"17",35387,"southern_us"
"18",33780,"southern_us"
"19",19001,"southern_us"
"20",16526,"southern_us"
"21",42455,"chinese"
"22",47453,"southern_us"
"23",42478,"italian"
"24",11885,"southern_us"
"25",16585,"italian"
"26",29639,"southern_us"
"27",26245,"southern_us"
"28",38516,"chinese"
"29",47520,"italian"
"30",26212,"southern_us"
"31",23696,"mexican"
"32",14926,"southern_us"
"33",13292,"southern_us"
"34",27346,"southern_us"
"35",1384,"chinese"
"36",15959,"southern_us"
"37",42297,"southern_us"
"38",46235,"indian"
"39",21181,"indian"
"40",9809,"southern_us"
"41",22982,"southern_us"
"42",23120,"chinese"
"43",26743,"southern_us"
"44",12741,"southern_us"
"45",7050,"italian"
"46",22437,"italian"
"47",14760,"italian"
"48",10649,"southern_us"
"49",48065,"mexican"
"50",39931,"chinese"
"51",32935,"italian"
"52",40142,"mexican"
"53",19103,"southern_us"
"54",38267,"italian"
"55",30512,"southern_us"
"56",3324,"chinese"
"57",26197,"italian"
"58",384,"chinese"
"59",47230,"chinese"
"60",39748,"southern_us"
"61",41038,"southern_us"
"62",24878,"mexican"
"63",42624,"southern_us"
"64",45706,"southern_us"
"65",8874,"southern_us"
"66",23878,"italian"
"67",47234,"southern_us"
"68",24075,"mexican"
"69",46323,"italian"
"70",22562,"southern_us"
"71",11358,"italian"
"72",9201,"indian"
"73",38620,"southern_us"
"74",47638,"southern_us"
"75",21238,"southern_us"
"76",11053,"chinese"
"77",46602,"southern_us"
"78",13937,"mexican"
"79",21876,"italian"
"80",20798,"southern_us"
"81",24381,"chinese"
"82",48178,"italian"
"83",45832,"italian"
"84",27560,"chinese"
"85",23247,"southern_us"
"86",28975,"southern_us"
"87",43230,"italian"
"88",9126,"italian"
"89",13021,"southern_us"
"90",28194,"chinese"
"91",25617,"southern_us"
"92",36125,"italian"
"93",16454,"mexican"
"94",1607,"chinese"
"95",38526,"southern_us"
"96",18755,"southern_us"
"97",12035,"southern_us"
"98",16047,"italian"
"99",15419,"italian"
"100",16971,"indian"
"101",31459,"southern_us"
"102",27888,"southern_us"
"103",13900,"italian"
"104",12376,"chinese"
"105",1658,"chinese"
"106",29431,"southern_us"
"107",22290,"italian"
"108",28464,"italian"
"109",37953,"chinese"
"110",20814,"southern_us"
"111",35987,"southern_us"
"112",2329,"italian"
"113",43237,"southern_us"
"114",30647,"southern_us"
"115",16675,"southern_us"
"116",37722,"mexican"
"117",32438,"chinese"
"118",20287,"southern_us"
"119",43296,"southern_us"
"120",6237,"southern_us"
"121",48560,"chinese"
"122",20810,"southern_us"
"123",34951,"southern_us"
"124",31850,"southern_us"
"125",47745,"southern_us"
"126",37815,"italian"
"127",9872,"italian"
"128",5592,"italian"
"129",27411,"mexican"
"130",39320,"southern_us"
"131",40247,"southern_us"
"132",19792,"mexican"
"133",40754,"italian"
"134",14365,"mexican"
"135",14468,"southern_us"
"136",47563,"mexican"
"137",19611,"italian"
"138",7163,"mexican"
"139",43069,"southern_us"
"140",27505,"chinese"
"141",36500,"chinese"
"142",25932,"southern_us"
"143",817,"italian"
"144",8471,"southern_us"
"145",48250,"southern_us"
"146",9413,"southern_us"
"147",12097,"southern_us"
"148",8416,"italian"
"149",5892,"italian"
"150",676,"southern_us"
"151",47015,"chinese"
"152",21891,"italian"
"153",14630,"italian"
"154",36195,"chinese"
"155",25981,"mexican"
"156",39964,"southern_us"
"157",28298,"southern_us"
"158",31954,"southern_us"
"159",26620,"southern_us"
"160",14932,"southern_us"
"161",47426,"southern_us"
"162",1038,"southern_us"
"163",8077,"southern_us"
"164",37141,"southern_us"
"165",45447,"southern_us"
"166",9624,"mexican"
"167",45589,"southern_us"
"168",7265,"southern_us"
"169",31844,"southern_us"
"170",13046,"italian"
"171",9867,"italian"
"172",29184,"italian"
"173",34783,"italian"
"174",2823,"mexican"
"175",18932,"mexican"
"176",11112,"mexican"
"177",12859,"southern_us"
"178",9365,"italian"
"179",44516,"southern_us"
"180",18193,"southern_us"
"181",46545,"italian"
"182",9900,"southern_us"
"183",14815,"mexican"
"184",39690,"italian"
"185",22193,"southern_us"
"186",11739,"southern_us"
"187",27311,"southern_us"
"188",36920,"southern_us"
"189",7861,"southern_us"
"190",29248,"mexican"
"191",43142,"mexican"
"192",7574,"southern_us"
"193",8610,"mexican"
"194",989,"italian"
"195",46926,"mexican"
"196",40816,"chinese"
"197",39726,"southern_us"
"198",42229,"southern_us"
"199",10474,"italian"
"200",22140,"mexican"
"201",31985,"indian"
"202",46165,"chinese"
"203",20860,"italian"
"204",42494,"italian"
"205",15968,"southern_us"
"206",20484,"mexican"
"207",26661,"mexican"
"208",47182,"mexican"
"209",22528,"southern_us"
"210",3861,"southern_us"
"211",1203,"southern_us"
"212",45040,"southern_us"
"213",33287,"indian"
"214",10097,"southern_us"
"215",42005,"southern_us"
"216",12423,"italian"
"217",39613,"mexican"
"218",30276,"southern_us"
"219",18686,"southern_us"
"220",3031,"southern_us"
"221",40093,"italian"
"222",182,"italian"
"223",46591,"mexican"
"224",4092,"chinese"
"225",13722,"southern_us"
"226",44575,"italian"
"227",14989,"southern_us"
"228",13270,"southern_us"
"229",25529,"italian"
"230",12140,"indian"
"231",23127,"mexican"
"232",13523,"italian"
"233",41270,"italian"
"234",8362,"southern_us"
"235",11735,"southern_us"
"236",27935,"italian"
"237",28198,"mexican"
"238",37765,"indian"
"239",33856,"southern_us"
"240",30198,"southern_us"
"241",42521,"southern_us"
"242",21567,"southern_us"
"243",36995,"southern_us"
"244",24967,"southern_us"
"245",45002,"southern_us"
"246",48925,"southern_us"
"247",36914,"southern_us"
"248",2280,"southern_us"
"249",14729,"southern_us"
"250",4594,"italian"
"251",2237,"mexican"
"252",45631,"italian"
"253",2317,"chinese"
"254",23079,"southern_us"
"255",29333,"chinese"
"256",48066,"southern_us"
"257",15737,"southern_us"
"258",30580,"italian"
"259",1119,"southern_us"
"260",46336,"mexican"
"261",5026,"mexican"
"262",10749,"southern_us"
"263",31020,"southern_us"
"264",30805,"southern_us"
"265",27653,"southern_us"
"266",35060,"mexican"
"267",39174,"southern_us"
"268",49509,"italian"
"269",31784,"southern_us"
"270",31408,"italian"
"271",36029,"mexican"
"272",11045,"southern_us"
"273",6561,"southern_us"
"274",26992,"southern_us"
"275",31179,"southern_us"
"276",35099,"mexican"
"277",11018,"chinese"
"278",17930,"mexican"
"279",21302,"italian"
"280",46352,"chinese"
"281",25132,"southern_us"
"282",7010,"southern_us"
"283",25850,"southern_us"
"284",19601,"mexican"
"285",7935,"italian"
"286",34994,"chinese"
"287",25113,"italian"
"288",45523,"italian"
"289",34977,"southern_us"
"290",7124,"southern_us"
"291",27514,"southern_us"
"292",27178,"mexican"
"293",47880,"chinese"
"294",29197,"southern_us"
"295",16347,"southern_us"
"296",20333,"southern_us"
"297",29112,"chinese"
"298",7510,"southern_us"
"299",13897,"mexican"
"300",35699,"italian"
"301",20520,"mexican"
"302",38920,"southern_us"
"303",21775,"southern_us"
"304",37475,"chinese"
"305",40131,"southern_us"
"306",1939,"southern_us"
"307",48268,"southern_us"
"308",34815,"italian"
"309",13797,"italian"
"310",39063,"chinese"
"311",29064,"chinese"
"312",26896,"italian"
"313",29477,"southern_us"
"314",3352,"southern_us"
"315",4966,"mexican"
"316",7316,"italian"
"317",23879,"mexican"
"318",16525,"italian"
"319",32843,"italian"
"320",39574,"southern_us"
"321",32737,"southern_us"
"322",44788,"southern_us"
"323",28772,"italian"
"324",34189,"mexican"
"325",33719,"italian"
"326",25846,"indian"
"327",1423,"indian"
"328",4328,"chinese"
"329",579,"southern_us"
"330",5219,"indian"
"331",2314,"southern_us"
"332",31143,"italian"
"333",13409,"mexican"
